BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
SCB,7-Jun,08/10977,209817020002,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10990,304617020089,Bangladesh,JENY,ANURAG
SCB,8-Jun,8/68,0000167417020056,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10989,304617020090,Bangladesh,JENY,ANURAG
SCB,7-Jun,08/10992,304617020092,Bangladesh,JENY,ANURAG
HSBC,7-Jun,02/5580,0067FLC170005,India,THINHA,SANJEEV
HSBC,7-Jun,06/241,0004FLC170170,India,THINHA,VIPIN
BTMU,8-Jun,8/93,90617020025,Bangladesh,JENY,ANURAG
BTMU,8-Jun,08/11010,154217010175,Bangladesh,JENY,ANURAG
,,06/251,0172FLC003917,India,THINHA,VIPIN
BTMU,11-Jun,08/11015,154217020053,Bangladesh,THINHA,ANURAG
BTMU,11-Jun,08/11016,154217020054,Bangladesh,THINHA,ANURAG
HSBC,30-Jun,05/2189,4258FLC00023/17,India,THINHA,GAURAV
HSBC,6-Jun,03/0915,0505217IM0000174,India,THINHA,GAURAV
HSBC,8-Jun,05/2196,2342FLC016317,India,JENY ,GAURAV
HSBC,8-Jun,06/266,009517IML000028,India,,VIPIN
SCB,11-Jun,08/11006,176017020031,Bangladesh,THINHA,ANURAG
SCB,8-Jun,08/10966,188517020010,Bangladesh,THINHA,ANURAG
SCB,8-Jun,02/5579,0207MDC170005074,India,JENY ,SANJEEV
SCB,7-Jun,08/10991,304617020093,Bangladesh,JENY ,ANURAG
HSBC,8-Jun,15/0072,469LC01171450008,India,JENY,SHEETAL
HSBC,6-Jun,2/76,008417IML000047,India,JENY,SANJEEV
CITI,8-Jun,8/56,107917020058,Bangladesh,JENY,ANURAG
CITI,8-Jun,08/10955,107917020059,Bangladesh,JENY,ANURAG
CITI,8-Jun,08/10957,107917020060,Bangladesh,JENY,ANURAG
SCB,8-Jun,8/71,215217010275,Bangladesh,JENY,ANURAG
SCB,8-Jun,08/10973,215217010276,Bangladesh,JENY,ANURAG
SCB,8-Jun,08/10974,215217010277,Bangladesh,JENY,ANURAG
SCB,9-Jun,11/5547,LCSFCBU1700189,Sri Lanka,JENY,NAVDEEP
HSBC,7-Jun,11/0037,0042002170013391,Sri Lanka,JENY,NAVDEEP
HSBC,9-Jun,11/5564,DB1003LC1705556,Sri Lanka,JENY ,NAVDEEP
HSBC,9-Jun,06/256,003LC01171600005,India,JENY ,VIPIN
HSBC,9-Jun,01/8333,OLC0017170004711,India,JENY ,SANJEEV
SCB,9-Jun,11/5541,493011711421,Sri Lanka,JENY ,NAVDEEP
SCB,11-Jun,08/10967,0000195017020027,Bangladesh,JENY ,ANURAG
SCB,12-Jun,08/11025,0000181017020012,Bangladesh,JENY ,ANURAG
SCB,12-Jun,08/11046,100117230106,Bangladesh,JENY ,ANURAG
SCB,12-Jun,08/11012,122017010109,Bangladesh,JENY ,ANURAG
SCB,12-Jun,08/11026,100517020093,Bangladesh,JENY ,ANURAG
SCB,12-Jun,08/11038,421010670465,Bangladesh,JENY ,ANURAG
BTMU,12-Jun,08/11017,154217020055,Bangladesh,JENY ,ANURAG
BTMU,12-Jun,08/11021,154217020056,Bangladesh,JENY ,ANURAG
BTMU,12-Jun,08/11023,154217020057,Bangladesh,JENY ,ANURAG
HSBC,12-Jun,13/1414,4335MDC170005149,India,JENY,NAVDEEP
HSBC,12-Jun,06/267,30930NI00004517,India,JENY,VIPIN
HSBC,12-Jun,06/268,30930NI00004417,India,JENY,VIPIN
HSBC,12-Jun,11/5563,410011732708,Sri Lanka,JENY,NAVDEEP
HSBC,12-Jun,01/8336,319757IM0000013,India,JENY,SANJEEV
HSBC,9-Jun,02/5587,006LC01171590006,India,JENY,SANJEEV
HSBC,9-Jun,03/0918,469LC01171590001,India,JENY,GAURAV
SCB,13-Jun,08/10947,ILC0802170211132,Bangladesh,THINHA,ANURAG
HSBC,12-Jun,02/5584,003LC01171590012,India,JENY,SANJEEV
SCB,11-Jun,07/3898,17DC01USD15477,Nepal,JENY,SURYA
SCB,11-Jun,07/3903,17ILC0480,Nepal,JENY,SURYA
SCB,8-Jun,13/1407,17DC01USD15460,Nepal,THINHA,NAVDEEP
SCB,13-Jun,08/11050,88217010554,Bangladesh,JENY,ANURAG
BTMU,14-Jun,08/10950,75117010460,Bangladesh,JENY,ANURAG
BTMU,14-Jun,08/11011,154217010178,Bangladesh,THINHA,ANURAG
BTMU,13-Jun,08/11054,154217010176,Bangladesh,THINHA,ANURAG
BTMU,13-Jun,08/11024,43417020011,Bangladesh,JENY,ANURAG
BTMU,13-Jun,08/11043,154217010177,Bangladesh,JENY,ANURAG
SCB,12-Jun,07/3896,TF17163201,Nepal,JENY,SURYA
SCB,11-Jun,07/3912,0217IM0200148,Nepal,JENY,SURYA
SCB,13-Jun,09/308,001IFIN171640001,Bhutan,THINHA,GAURAV
SCB,13-Jun,08/11042,140817220003,Bangladesh,JENY,ANURAG
